"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"90362","A01a - Healthy life expectancy at birth","","","E92000001","England","England","Male","All ages","","","2017 - 19","63.18","63.01","63.35","","","","","","Cannot be calculated","Better","Similar","20170000","",""
"90362","A01a - Healthy life expectancy at birth","E92000001","England","E12000008","South East region","Government Office Region","Male","All ages","","","2017 - 19","65.32","64.87","65.77","","","","","","Cannot be calculated","Better","Similar","20170000","",""
"90362","A01a - Healthy life expectancy at birth","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Male","All ages","","","2017 - 19","66","64.51","67.5","","","","","","Cannot be calculated","Better","Similar","20170000","",""
"90362","A01a - Healthy life expectancy at birth","","","E92000001","England","England","Female","All ages","","","2017 - 19","63.52","63.33","63.71","","","","","","Cannot be calculated","Similar","Similar","20170000","",""
"90362","A01a - Healthy life expectancy at birth","E92000001","England","E12000008","South East region","Government Office Region","Female","All ages","","","2017 - 19","65.85","65.35","66.34","","","","","","Cannot be calculated","Similar","Similar","20170000","",""
"90362","A01a - Healthy life expectancy at birth","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","All ages","","","2017 - 19","64.82","62.95","66.69","","","","","","Cannot be calculated","Similar","Similar","20170000","",""
"90366","A01b - Life expectancy at birth","","","E92000001","England","England","Male","All ages","","","2018 - 20","79.4","79.37","79.43","","","","","","Cannot be calculated","Better","Similar","20180000","New data",""
"90366","A01b - Life expectancy at birth","E92000001","England","E12000008","South East region","Government Office Region","Male","All ages","","","2018 - 20","80.59","80.52","80.66","","","","","","Cannot be calculated","Better","Similar","20180000","New data",""
"90366","A01b - Life expectancy at birth","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Male","All ages","","","2018 - 20","80.75","80.52","80.97","","","","","","Cannot be calculated","Better","Similar","20180000","New data",""
"90366","A01b - Life expectancy at birth","","","E92000001","England","England","Female","All ages","","","2018 - 20","83.14","83.12","83.17","","","","","","Cannot be calculated","Better","Similar","20180000","New data",""
"90366","A01b - Life expectancy at birth","E92000001","England","E12000008","South East region","Government Office Region","Female","All ages","","","2018 - 20","84.13","84.06","84.19","","","","","","Cannot be calculated","Better","Similar","20180000","New data",""
"90366","A01b - Life expectancy at birth","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","All ages","","","2018 - 20","84.13","83.92","84.35","","","","","","Cannot be calculated","Better","Similar","20180000","New data",""
"90366","A01b - Life expectancy at birth","","","E92000001","England","England","Male","All ages","","","2020","78.66706","78.61868","78.71544","","","","","","Cannot be calculated","Better","Similar","20200000","New data",""
"90366","A01b - Life expectancy at birth","E92000001","England","E12000008","South East region","Government Office Region","Male","All ages","","","2020","80.05454","79.93645","80.17262","","","","","","Cannot be calculated","Better","Similar","20200000","New data",""
"90366","A01b - Life expectancy at birth","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Male","All ages","","","2020","80.3187","79.9477","80.6897","","","","","","Cannot be calculated","Better","Similar","20200000","New data",""
"90366","A01b - Life expectancy at birth","","","E92000001","England","England","Female","All ages","","","2020","82.62091","82.575","82.66682","","","","","","Cannot be calculated","Better","Similar","20200000","New data",""
"90366","A01b - Life expectancy at birth","E92000001","England","E12000008","South East region","Government Office Region","Female","All ages","","","2020","83.71162","83.60046","83.82277","","","","","","Cannot be calculated","Better","Similar","20200000","New data",""
"90366","A01b - Life expectancy at birth","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","All ages","","","2020","83.8958","83.5472","84.2443","","","","","","Cannot be calculated","Better","Similar","20200000","New data",""
"93562","A01c - Disability-free life expectancy at birth","","","E92000001","England","England","Male","All ages","","","2017 - 19","62.69","62.52","62.86","","","","","","Cannot be calculated","Better","Similar","20170000","",""
"93562","A01c - Disability-free life expectancy at birth","E92000001","England","E12000008","South East region","Government Office Region","Male","All ages","","","2017 - 19","64.53","64.06","65.01","","","","","","Cannot be calculated","Better","Similar","20170000","",""
"93562","A01c - Disability-free life expectancy at birth","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Male","All ages","","","2017 - 19","65.88","64.35","67.4","","","","","","Cannot be calculated","Better","Similar","20170000","",""
"93562","A01c - Disability-free life expectancy at birth","","","E92000001","England","England","Female","All ages","","","2017 - 19","61.24","61.05","61.43","","","","","","Cannot be calculated","Similar","Similar","20170000","",""
"93562","A01c - Disability-free life expectancy at birth","E92000001","England","E12000008","South East region","Government Office Region","Female","All ages","","","2017 - 19","63.09","62.57","63.61","","","","","","Cannot be calculated","Similar","Similar","20170000","",""
"93562","A01c - Disability-free life expectancy at birth","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","All ages","","","2017 - 19","62.04","60.09","63.99","","","","","","Cannot be calculated","Similar","Similar","20170000","",""
"92901","A02a - Inequality in life expectancy at birth","","","E92000001","England","England","Male","All ages","","","2018 - 20","9.7","9.6","9.8","","","","83478591","","Cannot be calculated","2nd lowest quintile","Middle quintile","20180000","New data",""
"92901","A02a - Inequality in life expectancy at birth","E92000001","England","E12000008","South East region","Government Office Region","Male","All ages","","","2018 - 20","7.9","7.6","8.1","","","","13566918","","Cannot be calculated","2nd lowest quintile","Middle quintile","20180000","New data",""
"92901","A02a - Inequality in life expectancy at birth","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Male","All ages","","","2018 - 20","6.9","6.1","7.7","","","","1259709","","Cannot be calculated","2nd lowest quintile","Middle quintile","20180000","New data",""
"92901","A02a - Inequality in life expectancy at birth","","","E92000001","England","England","Female","All ages","","","2018 - 20","7.9","7.8","8","","","","85335686","","Cannot be calculated","2nd lowest quintile","2nd highest quintile","20180000","New data",""
"92901","A02a - Inequality in life expectancy at birth","E92000001","England","E12000008","South East region","Government Office Region","Female","All ages","","","2018 - 20","6","5.8","6.3","","","","13964107","","Cannot be calculated","2nd lowest quintile","2nd highest quintile","20180000","New data",""
"92901","A02a - Inequality in life expectancy at birth","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","All ages","","","2018 - 20","5.8","5","6.5","","","","1330758","","Cannot be calculated","2nd lowest quintile","2nd highest quintile","20180000","New data",""
