"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"93701","B01b - Children in absolute low income families (under 16s)","","","E92000001","England","England","Persons","<16 yrs","","","2019/20","15.6","15.558948549393353","15.60217442020863","15.546503007083748","15.614656289495846","1685298","10816679","","Increasing and getting worse","Better","Better","20190000","",""
"93701","B01b - Children in absolute low income families (under 16s)","E92000001","England","E12000008","South East region","Government Office Region","Persons","<16 yrs","","","2019/20","11.1","11.031913051416891","11.124456350097061","11.005354842188064","11.151265961947846","195797","1767424","","Increasing and getting worse","Better","Better","20190000","",""
"93701","B01b - Children in absolute low income families (under 16s)","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<16 yrs","","","2019/20","10.9","10.7565","11.0638","10.6693","11.1538","17257","158188","","Increasing and getting worse","Better","Better","20190000","",""
"93700","B01b - Children in relative low income families (under 16s)","","","E92000001","England","England","Persons","<16 yrs","","","2019/20","19.1","19.069944151878627","19.11678926723441","19.05645318910555","19.130312849498797","2065267","10816679","","Increasing and getting worse","Better","Similar","20190000","",""
"93700","B01b - Children in relative low income families (under 16s)","E92000001","England","E12000008","South East region","Government Office Region","Persons","<16 yrs","","","2019/20","13.3","13.296711759210641","13.396985736773551","13.267917209236153","13.426017035683232","235894","1767424","","Increasing and getting worse","Better","Similar","20190000","",""
"93700","B01b - Children in relative low income families (under 16s)","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<16 yrs","","","2019/20","13.2","13.0248","13.3583","12.9299","13.4558","20866","158188","","Increasing and getting worse","Better","Similar","20190000","",""
"90631","B02a - School readiness: percentage of children achieving a good level of development at the end of Reception","","","E92000001","England","England","Persons","5 yrs","","","2018/19","71.80760412835781","71.69715421675713","71.91779183912868","71.63334156684942","71.98121488701302","458847","638995","","Increasing and getting better","Similar","Worse","20180000","",""
"90631","B02a - School readiness: percentage of children achieving a good level of development at the end of Reception","E92000001","England","E12000008","South East region","Government Office Region","Persons","5 yrs","","","2018/19","74.617802682703","74.35037391526474","74.88338509582697","74.19532230297499","75.03569344040429","76434","102434","","Increasing and getting better","Similar","Worse","20180000","",""
"90631","B02a - School readiness: percentage of children achieving a good level of development at the end of Reception","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","5 yrs","","","2018/19","71.877","70.9513","72.7846","70.4095","73.2994","6640","9238","","Increasing and getting better","Similar","Worse","20180000","",""
"90632","B02a - School Readiness: percentage of children with free school meal status achieving a good level of development at the end of Reception","","","E92000001","England","England","Persons","5 yrs","","","2018/19","56.53094426244122","56.206344282571386","56.854985144462354","56.01891642735265","57.04158231683517","50732","89742","","No significant change","Worse","Worse","20180000","",""
