"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"92254","C01 - Total prescribed LARC excluding injections rate / 1,000","","","E92000001","England","England","Female","All ages","","","2020","34.55705968493925","34.4451445673387","34.669248472153875","34.380733657432664","34.7340190851796","365677","10581832","","No significant change","Higher","Higher","20200000","",""
"92254","C01 - Total prescribed LARC excluding injections rate / 1,000","E92000001","England","E12000008","South East region","Government Office Region","Female","All ages","","","2020","41.940476060018284","41.629079382029914","42.25607228704574","41.449625886898936","42.43784382086991","68890","1642566","","No significant change","Higher","Higher","20200000","",""
"92254","C01 - Total prescribed LARC excluding injections rate / 1,000","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","All ages","","","2020","51.632","50.4593","52.8395","49.7885","53.5374","7275","140901","","No significant change","Higher","Higher","20200000","",""
"20401","C02a - Under 18s conception rate / 1,000","","","E92000001","England","England","Female","<18 yrs","","","2019","15.739906990948345","15.480421494968516","16.002651360076854","15.332298689383927","16.155052006281586","14019","890666","","No significant change","Better","Similar","20190000","",""
"20401","C02a - Under 18s conception rate / 1,000","E92000001","England","E12000008","South East region","Government Office Region","Female","<18 yrs","","","2019","12.704854902118369","12.139501041236453","13.289742849368169","11.822457731094845","13.632357489263013","1897","149313","","No significant change","Better","Similar","20190000","",""
"20401","C02a - Under 18s conception rate / 1,000","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","<18 yrs","","","2019","12.6159","10.7696","14.6878","9.804","15.9457","166","13158","","No significant change","Better","Similar","20190000","",""
"90639","C02b - Under 16s conception rate / 1,000","","","E92000001","England","England","Female","<16 yrs","","","2019","2.4524071722228573","2.353109865990628","2.5548176945825167","2.297281546368543","2.6147230244420117","2296","936223","","No significant change","Better","Similar","20190000","",""
"90639","C02b - Under 16s conception rate / 1,000","E92000001","England","E12000008","South East region","Government Office Region","Female","<16 yrs","","","2019","1.7788584591758383","1.5758704673371968","2.000737477169239","1.467237414857018","2.133926901989491","278","156280","","No significant change","Better","Similar","20190000","",""
"90639","C02b - Under 16s conception rate / 1,000","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","<16 yrs","","","2019","1.3861","0.8341","2.1646","0.6033","2.6806","19","13708","","No significant change","Better","Similar","20190000","",""
"93584","C03a - Obesity in early pregnancy","","","E92000001","England","England","Female","Not applicable","","","2018/19","22.11","21.9","22.3","","","","652880","","Cannot be calculated","Better","Similar","20180000","",""
"93584","C03a - Obesity in early pregnancy","E92000001","England","E12000008","South East region","Government Office Region","Female","Not applicable","","","2018/19","20.89","20.6","21.2","","","","94770","","Cannot be calculated","Better","Similar","20180000","",""
"93584","C03a - Obesity in early pregnancy","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","Not applicable","","","2018/19","20.78","19.86","21.69","","","","8085","","Cannot be calculated","Better","Similar","20180000","",""
"93585","C03b - Drinking in early pregnancy","","","E92000001","England","England","Female","Not applicable","","","2018/19","4.13","3.9","4.4","","","","652880","","","","","20180000","",""
"93585","C03b - Drinking in early pregnancy","E92000001","England","E12000008","South East region","Government Office Region","Female","Not applicable","","","2018/19","","","","","","","","","","","","20180000","",""
"93585","C03b - Drinking in early pregnancy","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","Not applicable","","","2018/19","","","","","","","","","","","","20180000","",""
"93579","C03c - Smoking in early pregnancy","","","E92000001","England","England","Female","Not applicable","","","2018/19","12.76","12.7","12.9","","","","652880","","Cannot be calculated","Better","Similar","20180000","",""
"93579","C03c - Smoking in early pregnancy","E92000001","England","E12000008","South East region","Government Office Region","Female","Not applicable","","","2018/19","11.29","11.1","11.5","","","","94770","","Cannot be calculated","Better","Similar","20180000","",""
"93579","C03c - Smoking in early pregnancy","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","Not applicable","","","2018/19","10.9","10.19","11.62","","","","8085","","Cannot be calculated","Better","Similar","20180000","",""
"20101","C04 - Low birth weight of term babies","","","E92000001","England","England","Persons",">=37 weeks gestational age at birth","","","2020","2.8561518857539245","2.811669003624119","2.9013175142524994","2.786324413795023","2.927676588108857","15152","530504","","No significant change","Better","Better","20200000","New data",""
"20101","C04 - Low birth weight of term babies","E92000001","England","E12000008","South East region","Government Office Region","Persons",">=37 weeks gestational age at birth","","","2020","2.583757836990596","2.4771564962689183","2.6948198696675787","2.4176618302732304","2.7609419646518414","2110","81664","","No significant change","Better","Better","20200000","New data",""
"20101","C04 - Low birth weight of term babies","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons",">=37 weeks gestational age at birth","","","2020","2.0436","1.7459","2.3907","1.5947","2.6154","152","7438","","No significant change","Better","Better","20200000","New data",""
"93580","C05a - Baby's first feed breastmilk","","","E92000001","England","England","Persons","Newborn","","","2018/19","67.36679956505981","67.24266405393253","67.49008665795165","67.17114368237847","67.56124774458145","371730","551800","","Cannot be calculated","Similar","Worse","20180000","",""
"93580","C05a - Baby's first feed breastmilk","E92000001","England","E12000008","South East region","Government Office Region","Persons","Newborn","","","2018/19","72.70912720014516","72.1280636716703","73.28632123277072","71.79257715904082","73.61867225005494","60105","82665","","Cannot be calculated","Similar","Worse","20180000","",""
"93580","C05a - Baby's first feed breastmilk","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","Newborn","","","2018/19","68.5751","66.7215","70.4102","65.6459","71.4582","5270","7685","","Cannot be calculated","Similar","Worse","20180000","",""
"93085","C06 - Smoking status at time of delivery","","","E92000001","England","England","Female","All ages","","","2020/21","9.6","9.49","9.65","9.45","9.7","51840","541609","","No significant change","Better","Similar","20200000","",""
"93085","C06 - Smoking status at time of delivery","E92000001","England","E12000008","South East region","Government Office Region","Female","All ages","","","2020/21","9","8.83","9.21","8.72","9.32","7680","85180","","No significant change","Better","Similar","20200000","",""
"93085","C06 - Smoking status at time of delivery","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","All ages","","","2020/21","8.5","7.85","9.11","7.52","9.5","640","7566","","No significant change","Better","Similar","20200000","",""
"93469","C07 - Proportion of New Birth Visits (NBVs) completed within 14 days","","","E92000001","England","England","Persons","<14 days","","","2020/21","87.9896132066119","87.90406737228601","88.07463611367876","87.8544969856101","88.12342948878948","491109.3333333333","558144.6666666666","Annual figure includes constituent area(s) with annual figure scaled up data from three quarters’ data","Cannot be calculated","Better","Better","20200000","",""
"93469","C07 - Proportion of New Birth Visits (NBVs) completed within 14 days","E92000001","England","E12000008","South East region","Government Office Region","Persons","<14 days","","","2020/21","88.84232052765823","88.63379084065468","89.04749718625526","88.51200679972361","89.16429945037412","79067","88997","","Cannot be calculated","Better","Better","20200000","",""
"93469","C07 - Proportion of New Birth Visits (NBVs) completed within 14 days","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<14 days","","","2020/21","91.4639","90.8287","92.0589","90.4437","92.3843","7254","7931","","Cannot be calculated","Better","Better","20200000","",""
"93436","C08a - Child development: percentage of children achieving a good level of development at 2-2½ years","","","E92000001","England","England","Persons","2-2.5 yrs","","","2020/21","82.8597968320489","82.73808058269486","82.98083138192614","82.66757994022554","83.05031910381727","306858","370334","Annual figure includes constituent area(s) with annual figure scaled up data from three quarters’ data","Cannot be calculated","Better","Similar","20200000","",""
"93436","C08a - Child development: percentage of children achieving a good level of development at 2-2½ years","E92000001","England","E12000008","South East region","Government Office Region","Persons","2-2.5 yrs","","","2020/21","83.39364624918866","83.12556947860494","83.65830144373764","82.96942340331297","83.80936399924184","62528","74979.33333333333","Annual figure includes constituent area(s) with annual figure scaled up data from three quarters’ data","Cannot be calculated","Better","Similar","20200000","",""
"93436","C08a - Child development: percentage of children achieving a good level of development at 2-2½ years","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","2-2.5 yrs","","","2020/21","83.9922","83.1557","84.7947","82.658","85.2421","6459","7690","","Cannot be calculated","Better","Similar","20200000","",""
"93431","C08b - Child development: percentage of children achieving the expected level in communication skills at 2-2½ years","","","E92000001","England","England","Persons","2-2.5 yrs","","","2020/21","86.8225469507497","86.71429842850392","86.93004642758403","86.6515331223103","86.99169874496404","327914","377683","Annual figure includes constituent area(s) with annual figure scaled up data from three quarters’ data","Cannot be calculated","Better","Similar","20200000","",""
"93431","C08b - Child development: percentage of children achieving the expected level in communication skills at 2-2½ years","E92000001","England","E12000008","South East region","Government Office Region","Persons","2-2.5 yrs","","","2020/21","88.45103984208983","88.22029673514658","88.6778431829035","88.08543538446324","88.80685112601228","66320","74979.33333333333","Annual figure includes constituent area(s) with annual figure scaled up data from three quarters’ data","Cannot be calculated","Better","Similar","20200000","",""
"93431","C08b - Child development: percentage of children achieving the expected level in communication skills at 2-2½ years","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","2-2.5 yrs","","","2020/21","87.9324","87.1853","88.6416","86.7372","89.0335","6762","7690","","Cannot be calculated","Better","Similar","20200000","",""
"93435","C08c - Child development: percentage of children achieving the expected level in personal-social skills at 2-2½ years","","","E92000001","England","England","Persons","2-2.5 yrs","","","2020/21","90.22833575881901","90.13255757929532","90.32328407908547","90.07694618438532","90.37766240624428","336041","372434","Annual figure includes constituent area(s) with annual figure scaled up data from three quarters’ data","Cannot be calculated","Better","Better","20200000","",""
"93435","C08c - Child development: percentage of children achieving the expected level in personal-social skills at 2-2½ years","E92000001","England","E12000008","South East region","Government Office Region","Persons","2-2.5 yrs","","","2020/21","90.89927002107247","90.69129811418414","91.10305131154536","90.56944791514312","91.21867540856367","68155.66666666666","74979.33333333333","Annual figure includes constituent area(s) with annual figure scaled up data from three quarters’ data","Cannot be calculated","Better","Better","20200000","",""
"93435","C08c - Child development: percentage of children achieving the expected level in personal-social skills at 2-2½ years","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","2-2.5 yrs","","","2020/21","91.5605","90.9182","92.1612","90.5286","92.4893","7041","7690","","Cannot be calculated","Better","Better","20200000","",""
"20601","C09a - Reception: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","4-5 yrs","","","2019/20","23","22.8","23.1","22.8","23.2","91723","399470","","No significant change","Better","Better","20190000","",""
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E92000001","England","E12000008","South East region","Government Office Region","Persons","4-5 yrs","","","2019/20","21.9","21.6","22.2","21.4","22.4","14485","66095","","No significant change","Better","Better","20190000","",""
"20601","C09a - Reception: Prevalence of overweight (including obesity)","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","4-5 yrs","","","2019/20","19.2","18.1","20.3","17.4","21","900","4695","Interpret with caution - see Notes section in Definitions for details","No significant change","Better","Better","20190000","",""
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","","","E92000001","England","England","Persons","10-11 yrs","","","2019/20","35.2","35.1","35.3","35","35.4","172831","491138","","No significant change","Better","Better","20190000","",""
"20602","C09b - Year 6: Prevalence of overweight (including obesity)","E92000001","England","E12000008","South East region","Government Office Region","Persons","10-11 yrs","","","2019/20","31.7","31.4","32","31.2","32.2","27355","86265","","No significant change","Better","Better","20190000","",""
