"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"30101","D01 - Fraction of mortality attributable to particulate air pollution","","","E92000001","England","England","Persons","30+ yrs","","","2019","5.1328330381474965","","","","","","","","Cannot be calculated","Not compared","Not compared","20190000","",""
"30101","D01 - Fraction of mortality attributable to particulate air pollution","E92000001","England","E12000008","South East region","Government Office Region","Persons","30+ yrs","","","2019","5.171873426107526","","","","","","","","Cannot be calculated","Not compared","Not compared","20190000","",""
"30101","D01 - Fraction of mortality attributable to particulate air pollution","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","30+ yrs","","","2019","4.9081","","","","","","","","Cannot be calculated","Not compared","Not compared","20190000","",""
"90776","D02a - Chlamydia detection rate / 100,000 aged 15 to 24","","","E92000001","England","England","Persons","15-24 yrs","","","2020","1408.3859296189526","1399.3384152474175","1417.4774231630734","","","92790","6588393","","Decreasing and getting worse","Worse","Worse","20200000","","Worse"
"90776","D02a - Chlamydia detection rate / 100,000 aged 15 to 24","E92000001","England","E12000008","South East region","Government Office Region","Persons","15-24 yrs","","","2020","1221.5834795012122","1200.4720877957548","1242.9729622569453","","","12752","1043891","","Decreasing and getting worse","Worse","Worse","20200000","","Worse"
"90776","D02a - Chlamydia detection rate / 100,000 aged 15 to 24","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","15-24 yrs","","","2020","1003.4594","935.8622","1074.6487","","","818","81518","","Decreasing and getting worse","Worse","Worse","20200000","","Worse"
"91514","D02a - Chlamydia detection rate / 100,000 aged 15 to 24","","","E92000001","England","England","Male","15-24 yrs","","","2020","916.4043000713496","906.2465621371738","926.6475000078616","","","31095","3393153","","Decreasing","Not compared","Not compared","20200000","",""
"91514","D02a - Chlamydia detection rate / 100,000 aged 15 to 24","E92000001","England","E12000008","South East region","Government Office Region","Male","15-24 yrs","","","2020","754.7798096400921","731.7954917370023","778.3023883811244","","","4080","540555","","Decreasing","Not compared","Not compared","20200000","",""
"91514","D02a - Chlamydia detection rate / 100,000 aged 15 to 24","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Male","15-24 yrs","","","2020","614.9134","542.5688","694.2186","","","261","42445","","Decreasing","Not compared","Not compared","20200000","",""
"91514","D02a - Chlamydia detection rate / 100,000 aged 15 to 24","","","E92000001","England","England","Female","15-24 yrs","","","2020","1888.5279353037643","1873.4895130395048","1903.6570641113274","","","60343","3195240","","Decreasing","Not compared","Not compared","20200000","",""
"91514","D02a - Chlamydia detection rate / 100,000 aged 15 to 24","E92000001","England","E12000008","South East region","Government Office Region","Female","15-24 yrs","","","2020","1639.2628383425783","1604.0806750735462","1675.0221645292197","","","8251","503336","","Decreasing","Not compared","Not compared","20200000","",""
"91514","D02a - Chlamydia detection rate / 100,000 aged 15 to 24","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Female","15-24 yrs","","","2020","1412.7403","1297.3278","1535.6659","","","552","39073","","Decreasing","Not compared","Not compared","20200000","",""
"91306","D02b - New STI diagnoses (exc chlamydia aged <25) / 100,000","","","E92000001","England","England","Persons","15-64 yrs","","","2020","618.9570313","616.3850708","621.5369873","","","222030","35871635","","Decreasing and getting better","Better","Better","20200000","",""
"91306","D02b - New STI diagnoses (exc chlamydia aged <25) / 100,000","E92000001","England","E12000008","South East region","Government Office Region","Persons","15-64 yrs","","","2020","460.8380737","455.2997437","466.4269714","","","26439","5737156","","Decreasing and getting better","Better","Better","20200000","",""
