"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"92196","E01 - Infant mortality rate","","","E92000001","England","England","Persons","<1 yr","","","2018 - 20","3.904244706","3.814021357","3.996063518","","","7111","1821351","","Cannot be calculated","Similar","Similar","20180000","",""
"92196","E01 - Infant mortality rate","E92000001","England","E12000008","South East region","Government Office Region","Persons","<1 yr","","","2018 - 20","3.48056713","3.265926659","3.705608082","","","979","281276","","Cannot be calculated","Similar","Similar","20180000","",""
"92196","E01 - Infant mortality rate","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<1 yr","","","2018 - 20","3.5842","2.8783","4.4108","","","89","24831","","Cannot be calculated","Similar","Similar","20180000","",""
"93563","E02 - Percentage of 5 year olds with experience of visually obvious dental decay","","","E92000001","England","England","Persons","5 yrs","","","2018/19","23.37236065698007","23.07812106864327","23.6691973733438","","","","78767","","Cannot be calculated","Not compared","Not compared","20180000","",""
"93563","E02 - Percentage of 5 year olds with experience of visually obvious dental decay","E92000001","England","E12000008","South East region","Government Office Region","Persons","5 yrs","","","2018/19","17.606713059247475","16.92562557906077","18.309167155435915","","","","11644","","Cannot be calculated","Not compared","Not compared","20180000","",""
"93563","E02 - Percentage of 5 year olds with experience of visually obvious dental decay","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","5 yrs","","","2018/19","","","","","","","","Value missing in source data","Cannot be calculated","Not compared","Not compared","20180000","",""
"93721","E03 - Under 75 mortality rate from causes considered preventable (2019 definition)","","","E92000001","England","England","Persons","<75 yrs","","","2020","140.465788314703","139.421243919934","141.516205873028","138.821622082109","142.123544078854","69408.5","51684547","","No significant change","Better","Similar","20200000","",""
"93721","E03 - Under 75 mortality rate from causes considered preventable (2019 definition)","E92000001","England","E12000008","South East region","Government Office Region","Persons","<75 yrs","","","2020","120.690943031276","118.331493766909","123.085533001527","116.987185882102","124.47595556256","9994","8353974","","No significant change","Better","Similar","20200000","",""
"93721","E03 - Under 75 mortality rate from causes considered preventable (2019 definition)","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<75 yrs","","","2020","119.7595","112.4522","127.4147","108.397","131.9245","1013.5","769720","","No significant change","Better","Similar","20200000","",""
"40401","E04a - Under 75 mortality rate from all cardiovascular diseases","","","E92000001","England","England","Persons","<75 yrs","","","2017 - 19","70.4481281472097","70.0166170784748","70.8816373676614","","","102224","153938729","","Cannot be calculated","Better","Similar","20170000","",""
"40401","E04a - Under 75 mortality rate from all cardiovascular diseases","E92000001","England","E12000008","South East region","Government Office Region","Persons","<75 yrs","","","2017 - 19","57.1372252338652","56.1943102566554","58.0919809857224","","","14022","24935409","","Cannot be calculated","Better","Similar","20170000","",""
"40401","E04a - Under 75 mortality rate from all cardiovascular diseases","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<75 yrs","","","2017 - 19","55.5622","52.6913","58.5484","","","1413","2294370","","Cannot be calculated","Better","Similar","20170000","",""
"93722","E04b - Under 75 mortality rate from cardiovascular diseases considered preventable (2019 definition)","","","E92000001","England","England","Persons","<75 yrs","","","2020","29.2053377706292","28.7298788578394","29.6866852167952","28.4584331131913","29.965860861429","14413","51684547","","No significant change","Better","Similar","20200000","",""
"93722","E04b - Under 75 mortality rate from cardiovascular diseases considered preventable (2019 definition)","E92000001","England","E12000008","South East region","Government Office Region","Persons","<75 yrs","","","2020","23.7135815612423","22.6772556260065","24.7849826177541","22.095766610675","25.4123911573735","1975.5","8353974","","No significant change","Better","Similar","20200000","",""
"93722","E04b - Under 75 mortality rate from cardiovascular diseases considered preventable (2019 definition)","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<75 yrs","","","2020","23.5338","20.41","26.999","18.7596","29.0923","205","769720","","No significant change","Better","Similar","20200000","",""
"40501","E05a - Under 75 mortality rate from cancer","","","E92000001","England","England","Persons","<75 yrs","","","2017 - 19","129.226579137371","128.641618535437","129.813539429282","","","187314","153938729","","Cannot be calculated","Better","Similar","20170000","",""
"40501","E05a - Under 75 mortality rate from cancer","E92000001","England","E12000008","South East region","Government Office Region","Persons","<75 yrs","","","2017 - 19","121.60342548442","120.225217917927","122.993477843652","","","29806","24935409","","Cannot be calculated","Better","Similar","20170000","",""
"40501","E05a - Under 75 mortality rate from cancer","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<75 yrs","","","2017 - 19","119.9481","115.7159","124.2951","","","3054","2294370","","Cannot be calculated","Better","Similar","20170000","",""
"93723","E05b - Under 75 mortality rate from cancer considered preventable (2019 definition)","","","E92000001","England","England","Persons","<75 yrs","","","2020","51.4876593502646","50.8554506680206","52.1257577794","50.4936159570241","52.4953269999245","25386.5","51684547","","No significant change","Better","Similar","20200000","",""
"93723","E05b - Under 75 mortality rate from cancer considered preventable (2019 definition)","E92000001","England","E12000008","South East region","Government Office Region","Persons","<75 yrs","","","2020","44.9720590152143","43.5403217445443","46.4388105085825","42.7308616217087","47.2941640632926","3745.5","8353974","","No significant change","Better","Similar","20200000","",""
"93723","E05b - Under 75 mortality rate from cancer considered preventable (2019 definition)","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<75 yrs","","","2020","44.887","40.5257","49.5881","38.1634","52.3929","390.5","769720","","No significant change","Better","Similar","20200000","",""
"40601","E06a - Under 75 mortality rate from liver disease","","","E92000001","England","England","Persons","<75 yrs","","","2017 - 19","18.7987053226421","18.5761384292782","19.0232715724319","","","27293.32","153938729","","Cannot be calculated","Better","Similar","20170000","",""
"40601","E06a - Under 75 mortality rate from liver disease","E92000001","England","E12000008","South East region","Government Office Region","Persons","<75 yrs","","","2017 - 19","15.86445251438","15.3682525767377","16.37258023679","","","3874.975","24935409","","Cannot be calculated","Better","Similar","20170000","",""
"40601","E06a - Under 75 mortality rate from liver disease","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<75 yrs","","","2017 - 19","15.1025","13.6015","16.7234","","","372.255","2294370","","Cannot be calculated","Better","Similar","20170000","",""
"93720","E06b - Under 75 mortality rate from liver disease considered preventable (2019 definition)","","","E92000001","England","England","Persons","<75 yrs","","","2020","18.2245346131156","17.8486308991076","18.6063535130113","17.6346038118109","18.8281421924232","8961","51684547","","No significant change","Similar","Similar","20200000","",""
"93720","E06b - Under 75 mortality rate from liver disease considered preventable (2019 definition)","E92000001","England","E12000008","South East region","Government Office Region","Persons","<75 yrs","","","2020","15.4876952804637","14.6482059823517","16.3626844435706","14.1803500038108","16.8769676493678","1277","8353974","","No significant change","Similar","Similar","20200000","",""
"93720","E06b - Under 75 mortality rate from liver disease considered preventable (2019 definition)","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<75 yrs","","","2020","17.9946","15.2185","21.1287","13.7745","23.0363","150","769720","","No significant change","Similar","Similar","20200000","",""
"40701","E07a - Under 75 mortality rate from respiratory disease","","","E92000001","England","England","Persons","<75 yrs","","","2017 - 19","33.6232551442498","33.3253097536112","33.9232002088614","33.154424891452","34.0967119471641","48773.184","153938729","","Cannot be calculated","Better","Better","20170000","",""
"40701","E07a - Under 75 mortality rate from respiratory disease","E92000001","England","E12000008","South East region","Government Office Region","Persons","<75 yrs","","","2017 - 19","27.6660265093103","27.0119653462146","28.3319109362492","26.6402689752316","28.7191165810183","6807.924","24935409","","Cannot be calculated","Better","Better","20170000","",""
"40701","E07a - Under 75 mortality rate from respiratory disease","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<75 yrs","","","2017 - 19","24.4657","22.5914","26.4537","21.562","27.6314","633.668","2294370","","Cannot be calculated","Better","Better","20170000","",""
