"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"93553","Deprivation score (IMD 2019)","","","E92000001","England","England","Persons","All ages","","","2019","21.722087098893315","","","","","","","","Cannot be calculated","Lowest quintile","Middle quintile","20190000","",""
"93553","Deprivation score (IMD 2019)","E92000001","England","E12000008","South East region","Government Office Region","Persons","All ages","","","2019","15.5399225515983","","","","","","","","Cannot be calculated","Lowest quintile","Middle quintile","20190000","",""
"93553","Deprivation score (IMD 2019)","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","All ages","","","2019","14.429","","","","","","","","Cannot be calculated","Lowest quintile","Middle quintile","20190000","",""
"91872","Deprivation score (IMD 2015)","","","E92000001","England","England","Persons","All ages","","","2015","21.7776074153916","","","","","","","","Cannot be calculated","Lowest quintile","Middle quintile","20150000","",""
"91872","Deprivation score (IMD 2015)","E92000001","England","E12000008","South East region","Government Office Region","Persons","All ages","","","2015","","","","","","","","","Cannot be calculated","Lowest quintile","Middle quintile","20150000","",""
"91872","Deprivation score (IMD 2015)","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","All ages","","","2015","14.027","","","","","","","","Cannot be calculated","Lowest quintile","Middle quintile","20150000","",""
"92309","Supporting information - % population aged under 18","","","E92000001","England","England","Persons","<18 yrs","","","2020","21.3850724820512","21.3743878365133","21.395761015221","","","12093288","56550138","","No significant change","2nd lowest quintile","2nd lowest quintile","20200000","",""
"92309","Supporting information - % population aged under 18","E92000001","England","E12000008","South East region","Government Office Region","Persons","<18 yrs","","","2020","21.5097428575613","21.4832286869693","21.5362807757844","","","1982610","9217265","","No significant change","2nd lowest quintile","2nd lowest quintile","20200000","",""
"92309","Supporting information - % population aged under 18","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","<18 yrs","","","2020","20.4421","20.3574","20.5271","","","177363","867635","","No significant change","2nd lowest quintile","2nd lowest quintile","20200000","",""
"92310","Supporting information - % population aged 65+","","","E92000001","England","England","Persons","65+ yrs","","","2020","18.5039672228563","18.4938481646289","18.5140905601432","","","10464019","56550138","","Increasing","Highest quintile","Highest quintile","20200000","",""
"92310","Supporting information - % population aged 65+","E92000001","England","E12000008","South East region","Government Office Region","Persons","65+ yrs","","","2020","19.6588033435081","19.6331596486595","19.6844723288109","","","1812004","9217265","","Increasing","Highest quintile","Highest quintile","20200000","",""
"92310","Supporting information - % population aged 65+","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","65+ yrs","","","2020","23.1627","23.0741","23.2516","","","200968","867635","","Increasing","Highest quintile","Highest quintile","20200000","",""
"92860","Supporting information - % population from ethnic minorities","","","E92000001","England","England","Persons","16+ yrs","","","2016","13.6","13.299999999999999","13.9","","","6012200","44294800","","Cannot be calculated","2nd lowest quintile","Lowest quintile","20160000","",""
"92860","Supporting information - % population from ethnic minorities","E92000001","England","E12000008","South East region","Government Office Region","Persons","16+ yrs","","","2016","8.3","7.800000000000001","8.8","","","601000","7213000","","Cannot be calculated","2nd lowest quintile","Lowest quintile","20160000","",""
"92860","Supporting information - % population from ethnic minorities","E12000008","South East region","E10000032","West Sussex","Upper tier local authorities (pre 4/19)","Persons","16+ yrs","","","2016","4.5","2.8","6.2","","","30800","680500","","Cannot be calculated","2nd lowest quintile","Lowest quintile","20160000","",""
