Age,Male disabled,Male not disabled,Female disabled,Female not disabled
Total,0.192546584,0.807453416,0.229607251,0.770392749
0-4,0.047619048,0.952380952,0.05,0.95
5-9,0.1,0.9,0.05,0.95
10-14,0.111111111,0.888888889,0.058823529,0.941176471
15-19,0.111111111,0.888888889,0.117647059,0.882352941
20-24,0.136363636,0.863636364,0.142857143,0.857142857
25-29,0.130434783,0.869565217,0.136363636,0.863636364
30-34,0.090909091,0.909090909,0.173913043,0.826086957
35-39,0.136363636,0.863636364,0.181818182,0.818181818
40-44,0.15,0.85,0.2,0.8
45-49,0.181818182,0.818181818,0.227272727,0.772727273
50-54,0.217391304,0.782608696,0.260869565,0.739130435
55-59,0.272727273,0.727272727,0.272727273,0.727272727
60-64,0.277777778,0.722222222,0.315789474,0.684210526
65-69,0.3125,0.6875,0.352941176,0.647058824
70-74,0.4,0.6,0.411764706,0.588235294
75-79,0.454545455,0.545454545,0.454545455,0.545454545
80+,0.583333333,0.416666667,0.611111111,0.388888889
