"Date","NHSE_Region_Code","NHSE_Region_Name","Org code","Org name","Grade Sort Order","Grade","Specialty Group","Specialty","Total FTE"
"2022-01-31","Y56","London","36L","NHS South West London CCG","1","Consultant","General medicine group","General Med Practitioner",".73500"
"2022-01-31","Y56","London","36L","NHS South West London CCG","9","Hospital Practitioner / Clinical Assistant","General medicine group","General Med Practitioner","1.98000"
"2022-01-31","Y56","London","36L","NHS South West London CCG","10","Other and Local HCHS Doctor Grades","General medicine group","General Med Practitioner","6.14045"
"2022-01-31","Y56","London","72Q","NHS South East London CCG","1","Consultant","General medicine group","General Med Practitioner",".70000"
"2022-01-31","Y56","London","72Q","NHS South East London CCG","7","Foundation Doctor Year 2","Psychiatry group","General psychiatry","2.00000"
"2022-01-31","Y56","London","72Q","NHS South East London CCG","9","Hospital Practitioner / Clinical Assistant","General medicine group","General Med Practitioner",".67367"
"2022-01-31","Y56","London","72Q","NHS South East London CCG","10","Other and Local HCHS Doctor Grades","General medicine group","General Med Practitioner","7.44518"
"2022-01-31","Y56","London","A3A8R","NHS North East London CCG","1","Consultant","General medicine group","General Med Practitioner","1.00000"
"2022-01-31","Y56","London","A3A8R","NHS North East London CCG","10","Other and Local HCHS Doctor Grades","General medicine group","General Med Practitioner",".36800"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Anaesthetics","Anaesthetics","156.83985"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Anaesthetics","Intensive care medicine","19.70000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Clinical oncology","Clinical oncology","9.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Dental group","Oral and Maxillofacial Surgery","7.90000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Dental group","Oral Surgery","2.50000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Dental group","Orthodontics","8.95000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Dental group","Paediatric dentistry","3.30000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Dental group","Restorative dentistry","4.10000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","Emergency Medicine","Emergency Medicine","76.22500"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Audio Vestibular Medicine",".70000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Cardiology","37.75909"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Clinical neurophysiology","3.84000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Clinical pharmacology and therapeutics","3.00000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Dermatology","12.88636"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Endocrinology and diabetes mellitus","16.95000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","Gastro-enterology","29.50000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","General (internal) medicine","21.50000"
"2022-01-31","Y56","London","R1H","Barts Health NHS Trust","1","Consultant","General medicine group","General Med Practitioner",".60000"
