Age,Total,Male,Female,Year,AreaName
All Ages,"803,154","388,419","414,735",2010,West Sussex
Aged 0 to 15,"144,079","74,629","69,450",2010,West Sussex
Aged 16+,"659,075","313,790","345,285",2010,West Sussex
Aged 16 to 64,"494,315","242,549","251,766",2010,West Sussex
Aged 16 to 24,"77,992","39,545","38,447",2010,West Sussex
Aged 16 to 17,"19,322","10,005","9,317",2010,West Sussex
Aged 18 to 24,"58,670","29,540","29,130",2010,West Sussex
Aged 18 to 21,"33,748","17,196","16,552",2010,West Sussex
Aged 25 to 49,"261,059","127,529","133,530",2010,West Sussex
Aged 50 to 64,"155,264","75,475","79,789",2010,West Sussex
Aged 65+,"164,760","71,241","93,519",2010,West Sussex
Aged 0-4,"45,668","23,566","22,102",2010,West Sussex
Age 0,"9,154","4,818","4,336",2010,West Sussex
Age 1,"9,126","4,681","4,445",2010,West Sussex
Age 2,"9,360","4,751","4,609",2010,West Sussex
Age 3,"9,091","4,692","4,399",2010,West Sussex
Age 4,"8,937","4,624","4,313",2010,West Sussex
Aged 5-9,"42,762","22,176","20,586",2010,West Sussex
Age 5,"8,702","4,480","4,222",2010,West Sussex
Age 6,"8,724","4,581","4,143",2010,West Sussex
Age 7,"8,561","4,458","4,103",2010,West Sussex
Age 8,"8,211","4,164","4,047",2010,West Sussex
Age 9,"8,564","4,493","4,071",2010,West Sussex
Aged 10-14,"46,353","24,075","22,278",2010,West Sussex
Age 10,"8,934","4,545","4,389",2010,West Sussex
Age 11,"9,061","4,750","4,311",2010,West Sussex
Age 12,"9,473","4,894","4,579",2010,West Sussex
Age 13,"9,415","4,920","4,495",2010,West Sussex
Age 14,"9,470","4,966","4,504",2010,West Sussex
Aged 15-19,"46,961","24,138","22,823",2010,West Sussex
Age 15,"9,296","4,812","4,484",2010,West Sussex
Age 16,"9,751","5,092","4,659",2010,West Sussex
Age 17,"9,571","4,913","4,658",2010,West Sussex
Age 18,"9,609","4,903","4,706",2010,West Sussex
Age 19,"8,734","4,418","4,316",2010,West Sussex
Aged 20-24,"40,327","20,219","20,108",2010,West Sussex
Age 20,"7,791","4,012","3,779",2010,West Sussex
Age 21,"7,614","3,863","3,751",2010,West Sussex
Age 22,"8,246","4,116","4,130",2010,West Sussex
Age 23,"8,244","4,100","4,144",2010,West Sussex
Age 24,"8,432","4,128","4,304",2010,West Sussex
Aged 25-29,"43,931","21,731","22,200",2010,West Sussex
Age 25,"8,537","4,181","4,356",2010,West Sussex
Age 26,"8,533","4,258","4,275",2010,West Sussex
Age 27,"8,672","4,290","4,382",2010,West Sussex
Age 28,"8,909","4,433","4,476",2010,West Sussex
Age 29,"9,280","4,569","4,711",2010,West Sussex
Aged 30-34,"45,105","21,804","23,301",2010,West Sussex
Age 30,"9,444","4,426","5,018",2010,West Sussex
Age 31,"9,218","4,510","4,708",2010,West Sussex
Age 32,"8,801","4,342","4,459",2010,West Sussex
Age 33,"8,703","4,236","4,467",2010,West Sussex
Age 34,"8,939","4,290","4,649",2010,West Sussex
Aged 35-39,"52,161","25,029","27,132",2010,West Sussex
Age 35,"9,321","4,447","4,874",2010,West Sussex
Age 36,"10,028","4,834","5,194",2010,West Sussex
Age 37,"10,224","4,887","5,337",2010,West Sussex
Age 38,"10,971","5,256","5,715",2010,West Sussex
Age 39,"11,617","5,605","6,012",2010,West Sussex
Aged 40-44,"59,760","29,526","30,234",2010,West Sussex
Age 40,"11,171","5,520","5,651",2010,West Sussex
Age 41,"11,982","5,941","6,041",2010,West Sussex
Age 42,"12,026","5,964","6,062",2010,West Sussex
Age 43,"12,348","6,067","6,281",2010,West Sussex
Age 44,"12,233","6,034","6,199",2010,West Sussex
Aged 45-49,"60,102","29,439","30,663",2010,West Sussex
Age 45,"12,478","6,152","6,326",2010,West Sussex
Age 46,"12,424","6,060","6,364",2010,West Sussex
Age 47,"11,982","5,891","6,091",2010,West Sussex
Age 48,"11,812","5,725","6,087",2010,West Sussex
Age 49,"11,406","5,611","5,795",2010,West Sussex
Aged 50-54,"52,903","25,873","27,030",2010,West Sussex
Age 50,"11,006","5,423","5,583",2010,West Sussex
Age 51,"10,906","5,376","5,530",2010,West Sussex
Age 52,"10,751","5,221","5,530",2010,West Sussex
Age 53,"10,178","4,927","5,251",2010,West Sussex
Age 54,"10,062","4,926","5,136",2010,West Sussex
Aged 55-59,"48,032","23,456","24,576",2010,West Sussex
Age 55,"9,735","4,841","4,894",2010,West Sussex
Age 56,"9,716","4,784","4,932",2010,West Sussex
Age 57,"9,640","4,765","4,875",2010,West Sussex
Age 58,"9,482","4,499","4,983",2010,West Sussex
Age 59,"9,459","4,567","4,892",2010,West Sussex
Aged 60-64,"54,329","26,146","28,183",2010,West Sussex
Age 60,"9,964","4,848","5,116",2010,West Sussex
Age 61,"10,474","5,056","5,418",2010,West Sussex
Age 62,"11,387","5,493","5,894",2010,West Sussex
Age 63,"12,647","5,999","6,648",2010,West Sussex
Age 64,"9,857","4,750","5,107",2010,West Sussex
Aged 65-69,"43,369","20,885","22,484",2010,West Sussex
Age 65,"9,607","4,623","4,984",2010,West Sussex
Age 66,"9,460","4,550","4,910",2010,West Sussex
Age 67,"9,189","4,430","4,759",2010,West Sussex
Age 68,"8,036","3,902","4,134",2010,West Sussex
Age 69,"7,077","3,380","3,697",2010,West Sussex
Aged 70-74,"37,169","17,145","20,024",2010,West Sussex
Age 70,"7,705","3,561","4,144",2010,West Sussex
Age 71,"7,628","3,538","4,090",2010,West Sussex
Age 72,"7,584","3,510","4,074",2010,West Sussex
Age 73,"7,233","3,360","3,873",2010,West Sussex
Age 74,"7,019","3,176","3,843",2010,West Sussex
Aged 75-79,"32,123","14,191","17,932",2010,West Sussex
Age 75,"6,858","3,118","3,740",2010,West Sussex
Age 76,"6,448","2,878","3,570",2010,West Sussex
Age 77,"6,253","2,753","3,500",2010,West Sussex
Age 78,"6,261","2,706","3,555",2010,West Sussex
Age 79,"6,303","2,736","3,567",2010,West Sussex
Aged 80-84,"25,818","10,533","15,285",2010,West Sussex
Age 80,"5,866","2,495","3,371",2010,West Sussex
Age 81,"5,633","2,313","3,320",2010,West Sussex
Age 82,"5,117","2,101","3,016",2010,West Sussex
Age 83,"4,746","1,899","2,847",2010,West Sussex
Age 84,"4,456","1,725","2,731",2010,West Sussex
Aged 85+,"26,281","8,487","17,794",2010,West Sussex
Age 85,"4,074","1,520","2,554",2010,West Sussex
Age 86,"3,715","1,378","2,337",2010,West Sussex
Age 87,"3,390","1,175","2,215",2010,West Sussex
Age 88,"3,064",994,"2,070",2010,West Sussex
Age 89,"2,922",878,"2,044",2010,West Sussex
Aged 90+,"9,116","2,542","6,574",2010,West Sussex
All Ages,"863,980","420,317","443,663",2019,West Sussex
