Area,Ratio 2020,Ratio 2021
Adur,10.85,12.59
Arun,10.77,11.89
Ashford,9.79,11.63
Basingstoke and Deane,10.21,10.16
Canterbury,10.62,11.93
Cherwell,10.87,10.72
Chichester,12.79,13.51
Crawley,9.85,11.54
Dartford,10.48,10.87
Dover,8.10,9.40
East Hampshire,10.84,13.22
Eastbourne,8.35,10.41
Eastleigh,9.24,9.99
Elmbridge,14.36,14.93
Epsom and Ewell,13.56,14.78
Fareham,9.87,9.24
Gosport,7.55,7.42
Gravesham,10.84,11.05
Guildford,12.41,13.66
Hart,12.00,11.78
Hastings,9.24,9.36
Havant,10.97,10.35
Horsham,13.00,13.58
Lewes,11.06,11.49
Maidstone,10.56,11.46
Mid Sussex,11.38,12.12
Mole Valley,14.56,15.11
New Forest,10.73,12.38
Oxford,12.78,13.46
Reigate and Banstead,10.94,13.62
Rother,10.40,11.13
Runnymede,14.21,12.86
Rushmoor,9.65,10.82
Sevenoaks,13.27,12.65
Folkestone and Hythe,9.02,10.36
South Oxfordshire,10.98,12.32
Spelthorne,12.53,12.00
Surrey Heath,11.65,11.25
Swale,9.57,10.24
Tandridge,14.49,13.44
Test Valley,8.95,10.26
Thanet,8.71,10.45
Tonbridge and Malling,10.37,11.04
Tunbridge Wells,11.66,12.43
Vale of White Horse,11.01,10.77
Waverley,13.16,14.82
Wealden,10.72,12.24
West Oxfordshire,11.12,11.15
Winchester,11.68,12.29
Woking,10.92,14.52
Worthing,9.81,10.51
