"area label","area long label","area","Number of housing benefits recipients","Number of housing benefits recipients"
"area label","area long label","area","3517","3517"
"area label","area long label","area","Claims","Claims"
"area label","area long label","area","raw","raw"
"area label","area long label","area","Oct 2021","Nov 2021"
"area label","area long label","area","Month_2021_October","Month_2021_November"
"Adur","Adur (District)","E07000223","2,217","2,195"
"Arun","Arun (District)","E07000224","5,603","5,585"
"Ashford","Ashford (District)","E07000105","4,401","4,375"
"Basingstoke and Deane","Basingstoke and Deane (District)","E07000084","4,926","4,894"
"Canterbury","Canterbury (District)","E07000106","5,540","5,495"
"Cherwell","Cherwell (District)","E07000177","3,920","3,871"
"Chichester","Chichester (District)","E07000225","3,909","3,888"
"Crawley","Crawley (District)","E07000226","4,708","4,668"
"Dartford","Dartford (District)","E07000107","3,320","3,276"
"Dover","Dover (District)","E07000108","4,367","4,342"
"East Hampshire","East Hampshire (District)","E07000085","2,656","2,650"
"Eastbourne","Eastbourne (District)","E07000061","5,245","5,188"
"Eastleigh","Eastleigh (District)","E07000086","2,945","2,934"
"Elmbridge","Elmbridge (District)","E07000207","3,630","3,599"
"Epsom and Ewell","Epsom and Ewell (District)","E07000208","1,917","1,898"
"Fareham","Fareham (District)","E07000087","2,300","2,282"
"Gosport","Gosport (District)","E07000088","3,354","3,323"
"Gravesham","Gravesham (District)","E07000109","3,747","3,750"
"Guildford","Guildford (District)","E07000209","3,500","3,484"
"Hart","Hart (District)","E07000089","1,609","1,593"
"Hastings","Hastings (District)","E07000062","5,455","5,424"
"Havant","Havant (District)","E07000090","5,398","5,354"
"Horsham","Horsham (District)","E07000227","3,496","3,487"
"Lewes","Lewes (District)","E07000063","3,917","3,897"
"Maidstone","Maidstone (District)","E07000110","5,523","5,502"
"Mid Sussex","Mid Sussex (District)","E07000228","3,448","3,410"
"Mole Valley","Mole Valley (District)","E07000210","2,365","2,363"
"New Forest","New Forest (District)","E07000091","4,924","4,884"
"Oxford","Oxford (District)","E07000178","5,575","5,151"
"Reigate and Banstead","Reigate and Banstead (District)","E07000211","3,810","3,768"
"Rother","Rother (District)","E07000064","3,077","3,079"
"Runnymede","Runnymede (District)","E07000212","2,329","2,290"
"Rushmoor","Rushmoor (District)","E07000092","4,054","4,013"
"Sevenoaks","Sevenoaks (District)","E07000111","3,338","3,292"
"Folkestone and Hythe","Folkestone and Hythe (District)","E07000112","4,942","4,912"
"South Oxfordshire","South Oxfordshire (District)","E07000179","2,942","2,949"
"Spelthorne","Spelthorne (District)","E07000213","3,043","2,999"
"Surrey Heath","Surrey Heath (District)","E07000214","1,766","1,753"
"Swale","Swale (District)","E07000113","5,645","5,598"
"Tandridge","Tandridge (District)","E07000215","2,152","2,130"
"Test Valley","Test Valley (District)","E07000093","3,287","3,264"
"Thanet","Thanet (District)","E07000114","6,739","6,686"
"Tonbridge and Malling","Tonbridge and Malling (District)","E07000115","3,996","3,951"
"Tunbridge Wells","Tunbridge Wells (District)","E07000116","3,718","3,685"
"Vale of White Horse","Vale of White Horse (District)","E07000180","2,902","2,908"
"Waverley","Waverley (District)","E07000216","3,087","3,068"
"Wealden","Wealden (District)","E07000065","3,560","3,560"
"West Oxfordshire","West Oxfordshire (District)","E07000181","2,502","2,461"
"Winchester","Winchester (District)","E07000094","3,306","3,284"
"Woking","Woking (District)","E07000217","2,747","2,703"
"Worthing","Worthing (District)","E07000229","4,181","4,149"
