Age,West Sussex,Adur,Arun,Chichester,Crawley,Horsham,Mid Sussex,Worthing,Sex
Total,806892,61182,149518,113794,106597,131301,139860,104640,All persons
Age 0 to 24,222453,16342,37144,30091,33836,36407,39988,28645,All persons
Age 25 to 49,261304,19423,43203,32285,41973,42078,47124,35218,All persons
Age 50 to 64,156560,11983,29843,23524,17320,27246,27441,19203,All persons
Age 65 and over,166575,13434,39328,27894,13468,25570,25307,21574,All persons
Total,390567,29513,71303,54401,52698,63806,68462,50384,Males
Age 0 to 24,114593,8479,18949,15504,17313,18837,20789,14722,Males
Age 25 to 49,127637,9481,21043,15490,21052,20194,23164,17213,Males
Age 50 to 64,76027,5745,14170,11179,8553,13432,13487,9461,Males
Age 65 and over,72310,5808,17141,12228,5780,11343,11022,8988,Males
Total,416325,31669,78215,59393,53899,67495,71398,54256,Females
Age 0 to 24,107860,7863,18195,14587,16523,17570,19199,13923,Females
Age 25 to 49,133667,9942,22160,16795,20921,21884,23960,18005,Females
Age 50 to 64,80533,6238,15673,12345,8767,13814,13954,9742,Females
Age 65 and over,94265,7626,22187,15666,7688,14227,14285,12586,Females
