Age,West Sussex,Adur,Arun,Chichester,Crawley,Horsham,Mid Sussex,Worthing,Sex
Total,421600,31100,77500,58400,56300,70700,74200,53500,Male
Aged under 1 year,4200,300,700,500,800,700,700,500,Male
Aged 1 - 4 years,19000,1400,3200,2300,3300,3100,3500,2300,Male
Aged 5 - 9 years,26900,2100,4400,3500,4400,4300,4900,3300,Male
Aged 10 - 14 years,26800,2000,4400,3400,4000,4600,5100,3300,Male
Aged 15 - 19 years,22600,1600,3700,3100,3200,3900,4300,2900,Male
Aged 20 - 24 years,19900,1500,3500,3200,3000,3100,3200,2500,Male
Aged 25 - 29 years,21700,1500,4000,2900,3500,3500,3500,2700,Male
Aged 30 - 34 years,23300,1700,4000,2600,4200,3800,4000,3000,Male
Aged 35 - 39 years,25000,1700,3900,2700,4700,3800,4800,3400,Male
Aged 40 - 44 years,25900,2000,4000,2900,4300,4200,5100,3500,Male
Aged 45 - 49 years,28300,2200,4500,3400,3900,4900,5500,3800,Male
Aged 50 - 54 years,31200,2300,5500,4200,3900,5500,5700,4100,Male
Aged 55 - 59 years,30400,2300,5500,4400,3500,5500,5400,3900,Male
Aged 60 - 64 years,26100,1800,5000,4100,2900,4600,4300,3300,Male
Aged 65 - 69 years,23500,1700,5000,3900,2300,4000,3800,2700,Male
Aged 70 - 74 years,25000,1800,6000,4000,1800,4300,3900,3200,Male
Aged 75 - 79 years,18300,1400,4400,3200,1200,3000,2800,2100,Male
Aged 80 - 84 years,12400,1000,3000,2100,800,2100,1900,1500,Male
Aged 85 and over,11200,800,2700,2000,800,1800,1800,1400,Male
Total,446000,33100,83600,63100,56200,74800,78000,57200,Female
Aged under 1 year,4100,300,700,500,700,700,800,500,Female
Aged 1 - 4 years,18100,1400,3000,2200,3000,2900,3400,2200,Female
Aged 5 - 9 years,25200,2000,4200,3200,3800,4000,4800,3100,Female
Aged 10 - 14 years,25200,1800,4000,3300,3700,4400,4900,3200,Female
Aged 15 - 19 years,21000,1500,3500,3000,2900,3700,3800,2600,Female
Aged 20 - 24 years,18000,1200,3300,2900,2600,2900,2800,2400,Female
Aged 25 - 29 years,21400,1500,3700,2600,3700,3500,3700,2800,Female
Aged 30 - 34 years,25100,1800,4300,2700,4400,4000,4600,3200,Female
Aged 35 - 39 years,27600,2100,4300,3200,4700,4400,5300,3700,Female
Aged 40 - 44 years,27800,2100,4300,3200,4200,4700,5400,3700,Female
Aged 45 - 49 years,30200,2400,5000,4000,3800,5200,5800,4000,Female
Aged 50 - 54 years,31700,2400,5700,4400,3600,5800,5800,4100,Female
Aged 55 - 59 years,31900,2300,6100,4800,3400,5800,5300,4200,Female
Aged 60 - 64 years,28200,2000,5800,4600,3000,4800,4600,3400,Female
Aged 65 - 69 years,25900,1900,5800,4200,2300,4500,4100,3200,Female
Aged 70 - 74 years,28700,2300,6800,4800,2200,4600,4400,3600,Female
Aged 75 - 79 years,20900,1600,4900,3600,1400,3500,3300,2600,Female
Aged 80 - 84 years,16200,1300,3900,2700,1100,2600,2400,2200,Female
Aged 85 and over,18900,1300,4300,3200,1500,3000,2900,2600,Female
Total,867600,64200,161100,121500,112500,145500,152100,110700,All
Aged under 1 year,8300,600,1400,1000,1500,1300,1500,1000,All
Aged 1 - 4 years,37100,2800,6200,4500,6300,6000,6900,4500,All
Aged 5 - 9 years,52100,4100,8600,6700,8200,8300,9700,6400,All
Aged 10 - 14 years,52100,3700,8500,6700,7700,9000,9900,6500,All
Aged 15 - 19 years,43600,3100,7200,6100,6100,7600,8100,5400,All
Aged 20 - 24 years,37900,2700,6800,6100,5500,5900,6000,4900,All
Aged 25 - 29 years,43100,3000,7700,5500,7200,7100,7100,5400,All
Aged 30 - 34 years,48300,3400,8300,5300,8600,7800,8600,6300,All
Aged 35 - 39 years,52600,3900,8200,5900,9400,8200,10000,7100,All
Aged 40 - 44 years,53700,4100,8300,6100,8500,8900,10500,7200,All
Aged 45 - 49 years,58500,4600,9500,7400,7700,10000,11300,7800,All
Aged 50 - 54 years,62900,4700,11200,8600,7400,11200,11500,8300,All
Aged 55 - 59 years,62300,4500,11600,9200,6900,11300,10700,8100,All
Aged 60 - 64 years,54300,3800,10800,8700,5900,9400,8900,6600,All
Aged 65 - 69 years,49400,3700,10800,8100,4500,8500,7900,5900,All
Aged 70 - 74 years,53700,4100,12800,8800,4100,8900,8300,6700,All
Aged 75 - 79 years,39200,3000,9400,6800,2600,6500,6100,4800,All
Aged 80 - 84 years,28600,2300,7000,4800,2000,4700,4200,3700,All
Aged 85 and over,30100,2100,7000,5200,2400,4700,4700,4100,All
