"Age","2016","2017","2018","2019","2020"
"Total",846900,852400,858900,864000,867600
"Aged under 1 year",9000,8800,8600,8400,8300
"Aged 1 - 4 years",38800,38400,38200,37700,37100
"Aged 5 - 9 years",50700,51900,52200,52300,52100
"Aged 10 - 14 years",45800,47200,48800,50400,52100
"Aged 15 - 19 years",45300,44100,43500,43200,43600
"Aged 20 - 24 years",40000,39400,39400,38700,37900
"Aged 25 - 29 years",44700,44700,44500,43900,43100
"Aged 30 - 34 years",47600,47200,47800,48200,48300
"Aged 35 - 39 years",51400,52900,53400,53000,52600
"Aged 40 - 44 years",54200,52700,52300,52700,53700
"Aged 45 - 49 years",61800,61200,60300,59400,58500
"Aged 50 - 54 years",62400,63400,63800,63700,62900
"Aged 55 - 59 years",55400,57200,58800,60400,62300
"Aged 60 - 64 years",49600,50400,51600,53000,54300
"Aged 65 - 69 years",54700,51700,50200,49400,49400
"Aged 70 - 74 years",45100,49900,52000,53200,53700
"Aged 75 - 79 years",34000,34400,35800,37600,39200
"Aged 80 - 84 years",26700,27100,27800,28400,28600
"Aged 85 and over",29700,29800,29700,30200,30100
